FID,Name,Lat,Lon,Zone,Surf_Spot,Wannasurf_,Wannasurf1,Quality,Frequency,Direction,Type,Experience,Surfline_n,Quality__0,Frequency_,Wannasur_1,Wannasur_2,Surfline_l,Surfline_1,Manually_a,Manually_1,SUM_10km,SUM_1km,sqtd_10km,sqtd_1km
458, ,0.000000000000000,0.000000000000000,Bahia Norte,Farol da Barra,-13.009994000000001,-38.533602000000002,3.500000000000000,2,Left,breakwater/jetty,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
459, ,0.000000000000000,0.000000000000000,Bahia Norte,Barravento,-13.009764000000001,-38.526971000000003,3.500000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
460, ,0.000000000000000,0.000000000000000,Bahia Norte,Espanhol,-13.006230000000000,-38.533397999999998,3.500000000000000,2,Right and left,Point-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
461, ,0.000000000000000,0.000000000000000,Bahia Norte,Corsário,-12.976457000000000,-38.423394999999999,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
462, ,0.000000000000000,0.000000000000000,Bahia Norte,Jaguaribe,-12.955755000000000,-38.385007000000002,3.500000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
463, ,0.000000000000000,0.000000000000000,Bahia Norte,Stella Maris,-12.936097999999999,-38.323714000000002,3.500000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,12629.377624500000820,0.000000000000000,8358.266292570000587,0.000000000000000
464, ,0.000000000000000,0.000000000000000,Bahia Norte,Praia do forte,-12.734415000000000,-38.144444999999997,3.500000000000000,4,Right and left,Reef-coral,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,121130.110633999996935,0.000000000000000,78692.395076800006791,0.000000000000000
465, ,0.000000000000000,0.000000000000000,Bahia Norte,Scar Reef,-12.674941000000000,-38.085174000000002,3.500000000000000,2,Right and left,Reef-coral,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,121130.110633999996935,0.000000000000000,78692.395076800006791,0.000000000000000
466, ,0.000000000000000,0.000000000000000,Bahia Norte,Casinha,-12.556333000000000,-37.988351999999999,3.500000000000000,3,Right,Reef-coral,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
467, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,Aracaju,-10.987674000000000,-37.041145999999998,3.000000000000000,3,Right and left, ,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,281926.084051000012551,0.000000000000000,179069.517488000012236,0.000000000000000
468, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,Praia Do Francês,-9.772375000000000,-35.845170000000003,3.500000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,82004.538772600004449,2840.706441880000057,52701.889091500001086,1792.448724750000110
469, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,Pedra Virada,-9.678906000000000,-35.702514000000001,3.500000000000000,2,Left,Reef-rocky,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,171952.108276000013575,0.000000000000000,110313.528122000003350,0.000000000000000
470, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,Cruz das Almas,-9.631199000000001,-35.696071000000003,3.500000000000000,4,Right and left,Sand-bar,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,81738.220199599993066,0.000000000000000,51162.720596300001489,0.000000000000000
471, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,Riacho Doce,-9.568049999999999,-35.646794000000000,3.000000000000000,3,Right and left,Rivermouth,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,46078.381038699997589,5560.442083359999742,28036.235519400001067,3136.785173419999865
472, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,New Orleans,-9.526289999999999,-35.583022000000000,3.000000000000000,0,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,66776.160953500002506,0.000000000000000,41284.769416800001636,0.000000000000000
473, ,0.000000000000000,0.000000000000000,Sergipe Alagoas,Praia do Morro,-9.327169000000000,-35.438530999999998,3.500000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,224080.304927999997744,5892.849109650000173,137473.019161000003805,3740.762363429999823
474, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,Maracaipe,-8.525427000000001,-35.006261000000002,4.000000000000000,4,Right and left,Beach-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,575016.767747999983840,14217.469612099999722,353073.418355999980122,8864.827667240000665
475, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,Borete,-8.499622000000000,-35.003127999999997,3.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,554459.286395999952219,0.000000000000000,334096.840873999986798,0.000000000000000
476, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,cupe,-8.466621000000000,-34.989438000000000,4.000000000000000,3,Right and left,Beach-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,566244.229927000007592,2425.135915759999989,329596.233200000016950,1480.718416209999987
477, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,Enseada dos Corais,-8.312229000000000,-34.946179000000001,3.500000000000000,4,Right and left,Beach-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,316089.850671999971382,0.000000000000000,197481.088514000002760,0.000000000000000
478, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,Tambaba,-7.361306000000000,-34.798406000000000,3.000000000000000,0,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,155857.046432000002824,0.000000000000000,102422.854342999999062,0.000000000000000
479, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,Mar do Macaco,-7.045016000000000,-34.841422999999999,2.000000000000000,3,Right and left,Beach-break,Beginners wave, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,892637.091871000011452,0.000000000000000,594761.770353000028990,0.000000000000000
480, ,0.000000000000000,0.000000000000000,Paraiba and Pernambucco,Dique de Cabedelo,-6.963415000000000,-34.842559999999999,3.000000000000000,2,Left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,351218.053544999973383,0.000000000000000,230992.093965999985812,0.000000000000000
481, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Baia Formosa,-6.366994000000000,-35.014800999999999,3.500000000000000,3,Right,Point-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,844798.968486999976449,0.000000000000000,544144.590374000021257,0.000000000000000
482, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Pipa,-6.227699000000000,-35.044626999999998,4.000000000000000,4,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,49500.254657700003008,0.000000000000000,33725.311897300001874,0.000000000000000
483, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Lajão,-6.225929000000000,-35.050243999999999,3.500000000000000,2,Right,Point-break,Experienced surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,61442.254507099998591,0.000000000000000,41771.847742099998868,0.000000000000000
484, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Madeiro,-6.221044000000000,-35.067995000000003,3.500000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,101198.382404000003589,0.000000000000000,69126.173595400003251,0.000000000000000
485, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Cacimbinhas,-6.211530000000000,-35.077500000000001,3.500000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,140659.557254999992438,0.000000000000000,96227.218544000003021,0.000000000000000
486, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Tabatinga,-6.068866000000000,-35.097197999999999,3.000000000000000,0,Right and left, , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,88886.648609199997736,0.000000000000000,60241.862823499999649,0.000000000000000
487, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Ponta negra,-5.879271000000000,-35.171270000000000,3.000000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
488, ,0.000000000000000,0.000000000000000,Rio Grande Do Norte,Genipabu,-5.687221000000000,-35.211010000000002,3.000000000000000,3,Right and left,Beach-break,All surfers, ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,273539.483607999980450,5544.499448780000421,184213.074322000000393,3935.593957900000078
